"entry_id","incident_id","incident_type","description","location","county","severity","lat","lon","lanes","create_time","start_time","last_update","direction","vehicles_involved","lanes_status","participants","traffic_alert","additional_data","source","op_center","recorded_at"
"1","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:43:22","2025-04-01 05:27:06","2025-04-01 05:43:23.768","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:43:34.385814-04"
"4","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:43:22","2025-04-01 05:27:06","2025-04-01 05:43:23.768","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:44:34.374147-04"
"7","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:44:46","2025-04-01 05:27:06","2025-04-01 05:44:49.064","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:46:36.493535-04"
"10","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:44:46","2025-04-01 05:27:06","2025-04-01 05:44:49.064","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:47:36.449396-04"
"13","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:47:38","2025-04-01 05:27:06","2025-04-01 05:47:39.993","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:48:36.48099-04"
"16","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:47:38","2025-04-01 05:27:06","2025-04-01 05:47:39.993","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:49:36.500473-04"
"19","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:47:38","2025-04-01 05:27:06","2025-04-01 05:47:39.993","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:50:36.469979-04"
"22","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:51:28","2025-04-01 05:27:06","2025-04-01 05:51:31.142","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:51:36.530953-04"
"25","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:51:28","2025-04-01 05:27:06","2025-04-01 05:51:31.142","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:52:36.479195-04"
"28","0401c86a7eb103eb0067d32ec4235c0a","Property Damage","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Incident @ I-270 NORTH AT EXIT 9-10 I 370 I-370 E (NB) (MM 9.0)","Montgomery",2,"39.11469","-77.19144","RS (open), Rt OffRamp (open), Rt OffRamp (open), Shoulder (open), CD2 (open), CD1 (open), Shoulder (open), Shoulder (open), L4 (open), L3 (open), L2 (open), L1 (open), LS (open), Median (open), LS (open), L1 (open), L2 (open), L3 (open), Shoulder (closed), L4 (open), CD1 (open), Shoulder (open), Rt Accel (open), RS (open)","2025-04-01 05:53:44","2025-04-01 05:27:06","2025-04-01 05:53:46.736","North","1 vehicle involved.","Northbound-1 of 4 Shoulders closed","Barrels, CHART Unit - 00614SG, CHART Unit - SG83513, Fireboard, CHART Unit - 04541SG",True,"{}",NULL,NULL,"2025-04-01 05:53:48.609984-04"
