"incident_id","title","description","location","severity","reported_time","last_update","source","additional_data","created_at"
"traffic-stream-item-413210","Long Term Work Zone","Long Term Work ZoneGeorge Washington Pkwy both ways between VA-123/Chain Bridge Rd and Windy Run, proceed with caution by the long term work zone.","George Washington Pkwy","Minor","2023-04-22 00:04:00","2025-02-24 14:26:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""proceed with caution"", ""direction"": ""both ways""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-499285","Long Term Work Zone","Long Term Work ZoneOhio Dr SW both ways between Independence Ave SW and West Basin Dr SW, road closure in effect by the long term work zone.","Ohio Dr SW","Minor","2024-06-17 14:30:00","2024-11-29 15:34:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""road closure in effect"", ""direction"": ""both ways""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-503700","Utility Work Zone","Utility Work Zone22nd St NW southbound between Massachusetts Ave NW and P St SW, road closure in effect by the utility work zone.","22nd St NW","Minor","2024-07-15 12:23:00","2024-07-16 16:12:00","WTOP","{""type"": ""utility work zone"", ""blockage"": ""road closure in effect"", ""direction"": ""southbound""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-522972","Long Term Work Zone","Long Term Work ZoneMD-355/Wisconsin Ave southbound between Commerce Ln/Avondale St and Montgomery Ave, right side blocked by the long term work zone.","MD-355/Wisconsin Ave","Minor","2024-11-02 21:23:00","2024-11-02 21:23:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""right side blocked"", ""direction"": ""southbound""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-531539","Long Term Work Zone","Long Term Work ZoneVA-236/Duke St eastbound ramp to Van Dorn St, ramp blocked by the long term work zone.","VA-236/Duke St","Minor","2024-12-31 15:30:00","2025-01-02 14:46:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""ramp blocked"", ""direction"": ""eastbound""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-537740","Long Term Work Zone","Long Term Work ZoneMD-5/Branch Ave southbound ramp to Outer Loop I-495/Capital Beltway, ramp blocked by the long term work zone.","MD-5/Branch Ave","Minor","2025-02-19 15:02:00","2025-02-20 14:04:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""ramp blocked"", ""direction"": ""southbound""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-540219","Long Term Work Zone","Long Term Work ZoneMD-193/University Blvd E both ways at MD-650/New Hampshire Ave, follow crew direction by the long term work zone.","MD-193/University Blvd E","Minor","2025-03-08 19:37:00","2025-03-08 19:37:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""follow crew direction"", ""direction"": ""both ways""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-540371","Long Term Work Zone","Long Term Work ZoneOld Branch Ave both ways between Allentown Rd and Kirby Rd, road closure in effect by the long term work zone.","Old Branch Ave","Minor","2025-03-10 06:49:00","2025-03-11 14:18:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""road closure in effect"", ""direction"": ""both ways""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-542136","Long Term Work Zone","Long Term Work ZoneS St NW both ways between Florida Ave NW and New Jersey Ave NW, road closure in effect by the long term work zone.","S St NW","Minor","2025-03-23 06:36:00","2025-03-23 10:30:00","WTOP","{""type"": ""long term work zone"", ""blockage"": ""road closure in effect"", ""direction"": ""both ways""}","2025-04-01 21:25:08.836274-04"
"traffic-stream-item-542791","Work Zone","Work ZoneMD-650/New Hampshire Ave both ways at MD-193/University Blvd, follow posted detour by the work zone.","MD-650/New Hampshire Ave","Minor","2025-03-27 14:31:00","2025-03-28 04:46:00","WTOP","{""type"": ""work zone"", ""blockage"": ""follow posted detour"", ""direction"": ""both ways""}","2025-04-01 21:25:08.836274-04"
